"","idnum","mothid4","m5a4","m5a4m","m5a8f01","m5a8f02","m5a8f03","m5a8f04","m5a8f05","m5a8f06","m5a8f07","m5a8f08","m5a8f09","m5a8f10","m5k3a","m5k4a","m5k4b","m5k5c","m5k4d","m5k4e","m5k4f","m5k4g","m5k4h","m5k4i","m5k4j","m5k10a","m5k10b","m5k10c","m5k10d","m5k10e","m5k10f","m5k10g","m5k10h","m5k10i","m5k10j","m5k10k","m5k10l","m5k10m","m5k10n","m5k13a","m5k13b","m5k13c","m5k14a","m5k14b","m5k14c","m5k14d","m5k14e","m5k14f","m5k14g","m5k14h","m5k14i","m5k14j","m5k15","cm5mint","cm5relf","t5c13a","t5c13b","t5c13c","t5c16","t5tint","f5k3a","f5k4a","f5k4b","f5k5c","f5k4d","f5k4e","f5k4f","f5k4g","f5k4h","f5k4i","f5k4j","f5k10a","f5k10b","f5k10c","f5k10d","f5k10e","f5k10f","f5k10g","f5k10h","f5k10i","f5k10j","f5k10k","f5k10l","f5k10m","f5k10n","f5k13a","f5k13b","f5k13c","f5k14a","f5k14b","f5k14c","f5k14d","f5k14e","f5k14f","f5k14g","f5k14h","f5k14i","f5k14j","f5k15","cf5fint","cf5marm","k5b1a","k5b1b","k5b1c","k5b1d","k5b2a","k5b2c","k5b2d","k5c0","n5a10","p5i1g","p5i1h","p5i1i","p5i1j","p5i2a","p5i2b","p5i2c","p5i2d","p5i2e","p5i28","p5i29","p5i31a","p5i31b","p5i31c","p5i31d","p5i31e","p5i31f","p5i31g","p5i31h","p5i31i","p5i31j","p5i32a","p5i32b","p5i32c","p5i33a","p5i33b","p5i33c","p5i37","p5i39a","p5i40a","p5i40b","p5i40c","p5i40d","p5i40e","p5i40f","p5i40g","p5i40h","p5i40i","p5i40j","p5i41a","p5i41b","p5i41c","p5i42a","p5i42b","p5i42c","p5i46","p5q1a","p5q1b","p5q1c","p5q1d","p5q1e","p5q1f","p5q1g","p5q1h","p5q1i","p5q1j","p5q1k","p5q1l","p5q1m","p5q1n","p5q4a"
"1806","1806","18060",1,-6,1,1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,1,-9,-9,-9,-9,0,1,3,3,1,3,3,3,3,3,3,3,6,4,4,4,6,6,4,8,4,6,4,4,8,8,2,2,1,1,0,4,0,0,0,4,4,4,3,2,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-7,4,5,5,5,1,2,2,2,2,5,2,3,3,3,1,1,2,3,5,5,5,2,2,2,7,8,8,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1807","1807","18070",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,0,2,1,1,1,2,3,3,3,3,3,3,3,8,8,8,3,3,8,8,8,8,8,3,8,8,1,1,1,3,0,3,3,3,3,3,4,4,1,2,1,0,4,3,0,0,4,0,0,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"1808","1808","18080",1,-6,4,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,1,4,3,3,3,1,2,1,3,2,2,2,3,1,1,1,1,3,2,8,8,3,6,8,8,4,6,8,6,8,8,1,2,1,3,3,4,3,0,3,0,3,4,4,2,1,1,2,4,4,3,2,3,2,1,-7,1,5,5,5,2,2,2,2,2,5,7,4,2,4,2,1,1,1,4,4,3,2,1,1,5,8,8,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,6,5,-1,7,1,3,2,8,8,6,2,4,8,8,1
"1809","1809","18090",6,4,4,4,4,4,4,5,5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,6,1,1,2,2,1,2,2,2,1,3,2,2,2,2,3,3,5,5,8,2,6,5,1,8,8,5,8,6,8,8,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,0,3,2,0,0,4,0,0,1,-7,5,5,5,5,1,1,1,2,1,4,1,1,1,1,1,1,1,1,3,1,1,3,3,3,8,8,8,2,1,4,1,4,4,4,1,4,5,5,5,2,3,2,8,8,8,1,4,4,-1,3,3,8,8,-1,8,1,8,6,8,8,1
"1810","1810","18100",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1811","1811","18110",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,0,2,1,1,2,3,3,3,3,3,3,3,6,6,8,8,7,2,7,8,8,6,2,6,8,8,2,2,2,2,2,2,0,1,0,2,4,4,2,1,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1812","1812","18120",1,-6,1,1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,1,3,3,3,2,1,2,1,3,2,1,3,3,1,3,3,3,6,3,8,1,6,6,3,8,8,6,3,6,8,8,2,2,1,3,3,3,3,3,3,3,4,4,3,1,1,1,4,3,3,-1,4,3,-1,1,-7,5,5,4,4,2,2,1,2,2,7,7,4,4,5,5,2,4,4,5,4,4,2,2,1,5,8,8,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,6,6,8,7,6,4,7,8,8,-1,8,5,8,3,1
"1813","1813","18130",1,-6,1,1,1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,1,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-7,5,5,5,5,1,1,1,2,1,7,4,3,3,5,2,5,1,5,5,5,3,3,3,3,-1,-1,-1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1814","1814","18140",4,-6,4,1,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,2,-9,-9,-9,-9,0,2,2,3,2,2,3,2,1,1,2,2,4,4,8,8,8,-1,1,8,8,4,3,1,2,2,2,2,2,2,1,2,2,4,1,4,4,4,4,1,1,0,1,0,0,1,2,3,3,1,-7,5,5,5,5,1,1,1,1,2,7,7,1,2,3,3,1,2,3,3,5,4,2,2,2,4,8,1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,3,8,8,3,3,2,8,8,2,8,2,8,8,1
"1815","1815","18150",6,2,6,6,5,6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,6,3,3,3,3,1,2,1,3,1,1,3,3,3,2,3,3,3,3,8,8,2,2,8,1,8,2,8,1,8,8,2,1,1,1,2,3,0,2,2,3,3,3,3,1,1,0,3,3,4,3,4,3,2,1,-7,4,5,5,5,1,2,1,2,2,5,5,1,2,-2,1,2,1,2,2,3,3,1,3,2,5,7,1,1,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,3,2,8,1,3,3,8,8,8,2,7,2,7,8,1
"1816","1816","18160",7,2,1,-3,-3,-3,-3,-6,-6,-6,-6,-6,0,3,3,2,3,3,3,3,3,3,3,3,3,-1,-1,4,4,4,4,7,4,7,1,-1,-1,2,2,2,1,0,1,0,0,0,1,1,0,0,2,1,7,-2,-2,-2,4,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,0,1,1,0,0,1,0,0,1,-7,2,5,5,4,2,2,1,2,2,5,5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,3,8,8,8,7,2,8,8,8,8,8,1,8,8,1
"1817","1817","18170",2,2,4,1,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,5,-9,-9,-9,-9,0,2,1,3,1,2,3,3,3,3,3,3,3,8,8,8,3,6,8,8,8,6,8,4,8,8,2,2,1,2,3,4,2,3,3,4,4,4,3,1,1,1,3,3,4,2,3,0,0,1,-7,5,5,5,5,2,2,1,2,2,4,4,1,1,1,1,1,1,1,1,1,1,3,1,1,8,8,8,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,5,3,8,2,4,2,7,8,8,4,1,3,8,2,1
"1818","1818","18180",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1819","1819","18190",4,-6,5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,2,-9,-9,-9,-9,0,2,1,3,1,1,3,3,1,1,1,3,3,7,8,8,6,3,8,8,8,4,8,8,8,8,2,2,1,0,3,3,3,2,2,3,4,3,4,2,1,0,4,2,3,1,4,0,0,2,-7,2,5,5,5,2,2,1,2,1,6,4,2,3,4,4,3,2,3,5,5,1,3,3,3,1,8,8,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,1,8,8,1,2,8,8,8,8,8,3,8,8,1
"1820","1820","18200",7,4,4,5,5,6,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,7,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,4,2,3,3,-6,-6,-6,1,-7,4,4,5,3,2,2,2,2,2,5,5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,6,6,8,4,5,5,5,3,8,6,3,5,2,8,1
"1821","1821","18210",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1822","1822","18220",6,2,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,1,3,2,2,1,3,3,3,3,3,6,3,-1,-1,6,6,1,6,-1,6,-1,3,-1,-1,2,1,1,1,1,4,0,1,1,2,2,0,0,2,1,6,-9,-9,-9,-9,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,0,1,0,3,0,2,0,0,1,-7,3,5,5,5,2,2,1,2,2,7,7,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,8,8,8,3,8,8,8,8,8,8,8,8,8,1
"1823","1823","18230",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,3,3,0,0,-6,-6,-6,1,-3,5,5,5,5,2,2,2,1,1,5,5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,6,6,1,3,6,4,3,7,-2,6,3,6,8,8,2
"1824","1824","18240",2,2,1,1,1,6,5,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,5,-9,-9,-9,-9,0,0,3,3,1,3,3,3,3,3,3,3,3,2,8,8,3,8,8,8,8,6,8,4,8,8,2,2,2,0,0,0,0,0,0,0,3,0,0,2,1,0,4,0,3,2,0,0,2,1,-7,5,5,5,5,2,2,2,2,2,7,7,1,1,1,1,1,1,1,1,1,1,3,3,3,4,3,8,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,3,8,4,8,4,3,3,8,6,4,3,3,8,1
"1825","1825","18250",1,-6,1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,1,-9,-9,-9,-9,0,2,1,3,1,1,3,3,3,3,3,3,1,2,8,8,2,8,8,8,8,8,8,8,8,8,1,1,1,2,2,4,0,3,3,4,4,4,4,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-7,5,5,5,5,2,2,2,2,2,5,7,2,3,5,1,3,3,5,5,4,4,2,1,1,8,8,8,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1826","1826","18260",1,-6,1,1,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,1,-9,-9,-9,-9,0,1,1,3,1,1,3,3,3,3,3,3,6,3,8,8,4,6,8,8,8,8,8,4,8,8,2,2,1,3,1,3,1,3,3,2,4,2,2,1,1,1,2,2,2,0,2,2,0,1,-7,4,4,5,5,1,2,1,1,2,7,7,3,4,4,2,2,2,4,5,2,2,2,3,2,4,8,8,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,5,3,8,8,4,2,8,8,8,8,7,2,8,8,1
"1827","1827","18270",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1828","1828","18280",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1829","1829","18290",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1830","1830","18300",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
"1831","1831","18310",7,4,4,4,5,5,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,7,2,2,2,3,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,1,0,0,0,0,0,0,1,-7,2,5,5,5,1,2,1,2,1,7,4,1,1,1,1,1,1,1,1,1,1,3,3,3,8,8,8,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,3,1,-1,8,8,2,7,8,8,7,8,1,8,8,1
"1832","1832","18320",4,-6,6,4,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,2,-9,-9,-9,-9,0,2,2,2,2,2,2,1,2,2,2,1,2,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,1,3,3,3,3,3,3,3,3,3,3,1,1,0,2,0,1,1,3,4,1,1,-7,5,5,5,5,1,2,1,2,2,7,3,4,4,4,4,4,4,4,5,5,4,2,2,2,8,8,8,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,3,8,8,8,8,8,8,8,8,8,8,8,8,8,1
"1833","1833","18330",7,0,4,4,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,1,7,3,3,4,4,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,4,3,3,2,4,3,0,2,-7,5,5,5,3,1,2,2,2,1,5,7,1,1,1,1,1,1,1,1,1,1,3,3,3,8,8,8,2,2,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,3,2,8,2,3,3,8,2,8,3,8,3,-1,8,1
